Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,GMRS !,462.562500,,5.000000,,100.0,88.5,023,NN,FM,12.50,,,,,,
2,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,GMRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,GMRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,GMRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,GMRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,GMRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,GMRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,GMRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,GMRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,GMRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,GMRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,RPTR15,462.550000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
24,RPTR16,462.575000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
25,RPTR17,462.600000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
26,RPTR18,462.625000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
27,RPTR19,462.650000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
28,RPTR20,462.675000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
29,RPTR21,462.700000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
30,RPTR22,462.725000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
31,GMRSPH,462.650000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,5.00,,,,,,
32,GMRSSB,462.725000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
33,2M+400,147.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,2M+420,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,2M+440,147.440000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,2M+460,147.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,2M-460,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,2M-480,146.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,2M-500,146.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,2MCALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,MAAMRA,145.210000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
42,MTLEMO,145.250000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
43,CHASET,146.640000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
44,MINGUS,146.820000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
45,MTORD+,146.920000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
46,WTTANK,146.940000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
47,BELLBU,146.980000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,,,,,
48,USERY,147.120000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
49,RIMLIN,147.140000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
50,MTORD,147.360000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
51,TBIRD,147.040000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
52,)SLC(-,146.620000,-,0.000000,,123.0,88.5,023,NN,FM,5.00,,,,,,
53,,146.900000,-,0.000000,,123.0,88.5,023,NN,FM,5.00,,,,,,
70,70CMCA,446.000000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,SMOUNT,442.550000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
72,W7MOT,442.975000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
73,CHASE4,444.300000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
74,MTORD,444.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
75,MINGUS,447.450000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
76,MESA+,449.625000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
77,MESA,450.625000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
78,CHNDLR,443.050000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
79,BF>CHR,443.050000,-,5.000000,DTCS,88.5,88.5,023,NN,FM,5.00,,,,,,
100,)APRS(,144.390000,,0.600000,,100.0,88.5,023,NN,FM,5.00,S,,,,,
101,WX1PA7,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
102,WX2PA1,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
103,WX3PA4,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
104,WX4PA2,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
105,WX5PA3,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
106,WX6PA5,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
107,WX7PA6,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
108,WX8,161.650000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
109,WX9,161.775000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
110,WX10,163.275000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
111,PHXSFN,120.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
112,PHXNFN,126.600000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
113,PHSINC,134.850000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
114,KTAR2,450.487500,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
115,KTAR1,450.800000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
116,TV3,450.187500,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
117,FOX2,450.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
